timestamp,throughput,loss_rate,rtt
0,3.76,0.055,84.44
1,5.15,0.013,129.43
2,6.6,0.01,135.19
3,3.05,0.099,87.21
4,5.83,0.075,100.28
5,6.18,0.089,114.05
6,6.55,0.083,57.56
7,7.84,0.031,44.76
8,9.19,0.048,58.23
9,7.97,0.044,87.23
10,9.49,0.092,76.09
11,7.03,0.012,100.72
12,6.57,0.087,60.64
13,7.66,0.02,108.42
14,7.9,0.043,117.58
15,9.82,0.005,46.09
16,7.92,0.011,92.4
17,7.37,0.075,45.68
18,8.34,0.043,145.63
19,8.33,0.064,42.76
20,3.0,0.047,68.34
21,5.1,0.049,137.5
22,8.63,0.007,93.42
23,7.1,0.046,57.25
24,5.43,0.019,76.78
25,4.75,0.063,126.96
26,9.18,0.014,100.46
27,2.87,0.099,48.43
28,6.26,0.011,116.78
29,8.76,0.099,53.38
30,4.0,0.043,119.74
31,4.61,0.025,118.36
32,5.33,0.062,148.81
33,5.83,0.031,94.24
34,2.53,0.004,110.68
35,5.97,0.085,132.54
36,4.25,0.099,50.21
37,5.96,0.014,124.8
38,3.6,0.001,100.7
39,5.45,0.047,90.73
40,5.9,0.04,91.68
41,8.15,0.004,32.21
42,6.27,0.001,60.73
43,2.42,0.068,130.91
44,8.65,0.028,85.61
45,3.22,0.026,83.52
46,2.81,0.06,129.02
47,9.04,0.055,32.8
48,9.0,0.013,102.62
49,5.45,0.054,88.49
50,3.64,0.095,113.0
51,3.09,0.035,125.85
52,4.41,0.084,123.5
53,5.15,0.065,35.68
54,9.48,0.035,71.7
55,4.81,0.032,73.1
56,3.46,0.015,122.51
57,6.93,0.068,133.6
58,3.49,0.031,54.35
59,7.59,0.017,44.35
