timestamp,throughput,loss_rate,rtt
0,2.98,0.098,121.29
1,2.65,0.002,33.13
2,8.94,0.055,112.99
3,5.3,0.07,48.11
4,3.3,0.098,102.07
5,6.3,0.059,103.66
6,8.86,0.075,82.06
7,3.58,0.002,57.7
8,3.21,0.0,100.24
9,8.91,0.031,72.92
10,4.81,0.01,96.8
11,3.36,0.061,56.71
12,4.58,0.013,133.62
13,4.73,0.019,60.42
14,2.19,0.017,32.42
15,6.55,0.01,68.01
16,7.17,0.056,48.46
17,9.8,0.095,146.8
18,6.39,0.046,82.04
19,6.32,0.091,44.71
20,8.7,0.071,55.28
21,4.48,0.096,149.23
22,9.8,0.056,105.22
23,2.17,0.004,149.77
24,6.25,0.061,87.27
25,6.14,0.088,107.18
26,8.8,0.019,49.84
27,6.07,0.062,110.13
28,8.83,0.09,123.21
29,3.82,0.059,103.19
30,7.94,0.02,133.61
31,4.53,0.009,83.57
32,2.19,0.083,69.1
33,9.66,0.074,41.96
34,5.73,0.067,97.11
35,7.21,0.011,67.73
36,6.47,0.02,75.09
37,3.62,0.073,136.89
38,6.68,0.039,120.45
39,2.88,0.073,127.79
40,5.07,0.031,74.13
41,2.04,0.057,128.47
42,9.41,0.025,86.23
43,4.61,0.045,59.63
44,3.1,0.006,54.74
45,9.01,0.084,127.23
46,3.75,0.019,45.34
47,4.35,0.027,125.1
48,4.36,0.086,102.44
49,5.26,0.03,106.92
50,6.24,0.091,149.59
51,6.81,0.01,99.76
52,6.12,0.022,49.35
53,3.79,0.042,96.38
54,2.92,0.082,58.46
55,7.99,0.006,62.26
56,3.34,0.086,77.47
57,8.57,0.013,132.32
58,5.55,0.087,127.85
59,3.94,0.009,80.54
