timestamp,throughput,loss_rate,rtt
0,3.03,0.022,72.62
1,3.9,0.09,125.8
2,7.53,0.081,35.32
3,5.67,0.028,146.33
4,9.6,0.044,37.45
5,4.66,0.039,49.81
6,9.53,0.032,127.91
7,8.7,0.045,145.15
8,5.83,0.07,108.96
9,9.21,0.014,89.24
10,8.77,0.008,119.68
11,2.49,0.039,80.06
12,9.23,0.043,122.35
13,6.51,0.019,31.46
14,4.15,0.035,78.97
15,8.23,0.032,51.69
16,7.18,0.086,66.87
17,6.12,0.047,122.03
18,6.56,0.095,134.19
19,4.78,0.055,84.21
20,7.15,0.01,49.42
21,2.57,0.031,144.62
22,5.4,0.085,43.03
23,8.08,0.094,91.21
24,8.83,0.021,34.53
25,6.16,0.093,43.19
26,5.0,0.01,64.05
27,9.72,0.093,46.61
28,6.9,0.032,58.07
29,2.12,0.004,140.88
30,6.26,0.061,66.37
31,9.94,0.018,81.53
32,5.35,0.03,74.54
33,8.62,0.006,97.53
34,7.44,0.041,106.07
35,8.63,0.043,61.83
36,7.27,0.008,42.15
37,4.98,0.036,63.31
38,2.29,0.054,145.25
39,8.62,0.092,123.49
40,2.54,0.078,142.34
41,8.19,0.023,84.74
42,9.87,0.01,35.68
43,2.71,0.037,57.69
44,9.41,0.067,148.39
45,4.32,0.035,90.49
46,2.38,0.079,138.02
47,6.6,0.026,32.84
48,7.76,0.091,117.86
49,3.34,0.01,144.06
50,2.39,0.074,119.7
51,6.66,0.055,78.49
52,3.31,0.097,60.68
53,2.45,0.03,124.75
54,6.16,0.033,124.98
55,9.72,0.008,83.81
56,7.93,0.032,108.89
57,5.44,0.094,144.8
58,3.9,0.099,50.65
59,9.82,0.005,116.29
