timestamp,throughput,loss_rate,rtt
0,9.84,0.0,79.03
1,7.2,0.008,48.69
2,3.51,0.053,41.0
3,9.83,0.021,127.09
4,8.58,0.099,64.48
5,4.65,0.085,141.01
6,3.43,0.071,44.21
7,7.91,0.006,99.69
8,8.22,0.039,57.87
9,5.67,0.061,117.39
10,3.36,0.006,62.98
11,4.15,0.077,45.89
12,9.34,0.04,37.89
13,2.21,0.034,83.52
14,9.17,0.002,50.83
15,3.16,0.03,62.79
16,4.89,0.06,77.48
17,4.01,0.059,49.88
18,2.35,0.019,105.23
19,9.44,0.098,129.77
20,2.92,0.077,100.55
21,3.63,0.034,91.4
22,4.57,0.092,80.53
23,8.52,0.09,65.65
24,7.3,0.088,120.78
25,6.1,0.062,60.59
26,3.58,0.086,124.78
27,3.11,0.019,148.5
28,9.81,0.045,99.24
29,7.49,0.037,58.73
30,9.37,0.04,121.32
31,5.58,0.081,115.36
32,3.5,0.083,92.2
33,8.3,0.045,86.35
34,9.2,0.056,45.14
35,9.34,0.034,70.47
36,9.12,0.028,59.9
37,7.49,0.023,120.23
38,3.61,0.098,116.32
39,4.59,0.019,69.89
40,8.72,0.033,68.52
41,5.68,0.057,139.67
42,2.11,0.077,42.65
43,4.6,0.072,61.7
44,9.77,0.019,72.01
45,8.86,0.059,68.17
46,8.33,0.049,149.91
47,2.8,0.076,69.5
48,3.53,0.071,35.32
49,2.25,0.028,82.88
50,5.08,0.054,128.5
51,9.11,0.035,72.55
52,3.66,0.047,104.14
53,6.29,0.038,149.69
54,7.35,0.067,125.24
55,9.63,0.081,119.93
56,2.06,0.037,32.6
57,3.32,0.012,117.99
58,5.49,0.077,46.51
59,9.07,0.032,46.54
