timestamp,throughput,loss_rate,rtt
0,2.33,0.023,116.84
1,9.6,0.016,72.89
2,8.44,0.015,71.2
3,2.13,0.035,135.19
4,3.16,0.034,42.47
5,4.47,0.044,44.3
6,6.13,0.08,97.38
7,8.03,0.067,112.39
8,2.91,0.077,55.43
9,8.9,0.068,62.34
10,7.54,0.087,146.25
11,7.64,0.082,39.46
12,7.57,0.027,49.24
13,5.58,0.051,98.06
14,8.6,0.054,82.84
15,5.11,0.046,61.65
16,7.22,0.046,128.63
17,2.08,0.025,128.69
18,4.46,0.044,109.58
19,4.88,0.018,64.17
20,8.44,0.019,119.21
21,3.56,0.063,53.55
22,3.92,0.095,62.3
23,8.04,0.081,143.99
24,4.42,0.028,87.42
25,5.35,0.061,54.02
26,2.43,0.044,137.68
27,4.19,0.019,119.7
28,3.19,0.093,30.81
29,2.73,0.085,132.29
30,2.32,0.032,147.73
31,2.51,0.035,79.76
32,4.52,0.099,115.92
33,9.42,0.095,54.58
34,8.95,0.077,57.63
35,7.49,0.095,102.8
36,7.3,0.02,46.49
37,4.72,0.009,129.81
38,6.79,0.032,126.93
39,6.96,0.019,33.49
40,5.55,0.096,122.28
41,8.56,0.041,72.3
42,7.28,0.097,79.52
43,6.98,0.038,50.49
44,8.79,0.013,140.92
45,5.77,0.075,31.66
46,9.02,0.07,105.35
47,8.9,0.098,80.04
48,7.75,0.001,54.92
49,4.12,0.099,53.03
50,8.88,0.016,112.44
51,8.48,0.073,51.57
52,4.98,0.01,104.96
53,5.47,0.043,122.8
54,8.62,0.078,54.23
55,5.36,0.025,50.89
56,8.96,0.011,101.3
57,8.26,0.063,55.3
58,2.27,0.085,50.49
59,9.68,0.071,110.18
